iter	Passed	Remaining
0	1	136
1	2	117
2	3	107
3	4	98
4	5	99
5	6	96
6	7	95
7	8	96
8	9	95
9	10	92
10	11	92
11	12	93
12	13	91
13	14	89
14	15	88
15	16	86
16	17	85
17	18	84
18	19	83
19	20	82
20	21	81
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	28	75
27	28	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	54
48	51	53
49	52	52
50	53	51
51	54	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	78	30
72	79	29
73	80	28
74	82	27
75	83	26
76	85	25
77	87	24
78	88	23
79	89	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	100	13
88	101	12
89	102	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
